Data,quantidade,faixaEtaria,sexo
2020-03-02,1,35 a 39 anos,Feminino
2020-03-02,1,60 a 64 anos,Feminino
2020-03-03,1,35 a 39 anos,Feminino
2020-03-03,1,60 a 64 anos,Feminino
2020-03-04,1,35 a 39 anos,Feminino
2020-03-04,1,60 a 64 anos,Feminino
2020-03-05,1,35 a 39 anos,Feminino
2020-03-05,1,60 a 64 anos,Feminino
2020-03-06,1,35 a 39 anos,Feminino
2020-03-06,1,60 a 64 anos,Feminino
2020-03-07,1,35 a 39 anos,Feminino
2020-03-07,1,60 a 64 anos,Feminino
2020-03-08,1,35 a 39 anos,Feminino
2020-03-08,1,60 a 64 anos,Feminino
2020-03-09,1,35 a 39 anos,Feminino
2020-03-09,1,60 a 64 anos,Feminino
2020-03-10,1,35 a 39 anos,Feminino
2020-03-10,1,60 a 64 anos,Feminino
2020-03-11,1,35 a 39 anos,Feminino
2020-03-11,1,60 a 64 anos,Feminino
2020-03-12,1,35 a 39 anos,Feminino
2020-03-12,1,60 a 64 anos,Feminino
2020-03-13,1,35 a 39 anos,Feminino
2020-03-13,1,60 a 64 anos,Feminino
2020-03-14,1,35 a 39 anos,Feminino
2020-03-14,1,55 a 59 anos,Masculino
2020-03-14,1,60 a 64 anos,Feminino
2020-03-15,1,35 a 39 anos,Feminino
2020-03-15,1,55 a 59 anos,Masculino
2020-03-15,1,60 a 64 anos,Feminino
2020-03-16,1,35 a 39 anos,Feminino
2020-03-16,1,45 a 49 anos,Feminino
2020-03-16,1,50 a 54 anos,Masculino
2020-03-16,1,55 a 59 anos,Masculino
2020-03-16,1,60 a 64 anos,Feminino
2020-03-16,1,65 a 69 anos,Feminino
2020-03-16,1,65 a 69 anos,Masculino
2020-03-17,2,20 a 24 anos,Feminino
2020-03-17,1,20 a 24 anos,Masculino
2020-03-17,3,30 a 34 anos,Masculino
2020-03-17,1,35 a 39 anos,Feminino
2020-03-17,1,35 a 39 anos,Masculino
2020-03-17,2,40 a 44 anos,Masculino
2020-03-17,2,45 a 49 anos,Feminino
2020-03-17,1,50 a 54 anos,Feminino
2020-03-17,3,50 a 54 anos,Masculino
2020-03-17,3,55 a 59 anos,Feminino
2020-03-17,1,55 a 59 anos,Masculino
2020-03-17,1,60 a 64 anos,Feminino
2020-03-17,1,60 a 64 anos,Masculino
2020-03-17,1,65 a 69 anos,Feminino
2020-03-17,1,65 a 69 anos,Masculino
2020-03-17,1,80 anos ou mais,Feminino
2020-03-17,2,80 anos ou mais,Masculino
2020-03-18,2,20 a 24 anos,Feminino
2020-03-18,1,20 a 24 anos,Masculino
2020-03-18,3,30 a 34 anos,Masculino
2020-03-18,1,35 a 39 anos,Feminino
2020-03-18,1,35 a 39 anos,Masculino
2020-03-18,2,40 a 44 anos,Masculino
2020-03-18,3,45 a 49 anos,Feminino
2020-03-18,1,45 a 49 anos,Masculino
2020-03-18,1,50 a 54 anos,Feminino
2020-03-18,5,50 a 54 anos,Masculino
2020-03-18,3,55 a 59 anos,Feminino
2020-03-18,1,55 a 59 anos,Masculino
2020-03-18,1,60 a 64 anos,Feminino
2020-03-18,1,60 a 64 anos,Masculino
2020-03-18,1,65 a 69 anos,Feminino
2020-03-18,1,65 a 69 anos,Masculino
2020-03-18,1,80 anos ou mais,Feminino
2020-03-18,2,80 anos ou mais,Masculino
2020-03-19,1,0 a 4 anos,Feminino
2020-03-19,4,20 a 24 anos,Feminino
2020-03-19,1,20 a 24 anos,Masculino
2020-03-19,1,25 a 29 anos,Feminino
2020-03-19,2,25 a 29 anos,Masculino
2020-03-19,2,30 a 34 anos,Feminino
2020-03-19,3,30 a 34 anos,Masculino
2020-03-19,5,35 a 39 anos,Feminino
2020-03-19,3,35 a 39 anos,Masculino
2020-03-19,2,40 a 44 anos,Feminino
2020-03-19,3,40 a 44 anos,Masculino
2020-03-19,4,45 a 49 anos,Feminino
2020-03-19,1,45 a 49 anos,Masculino
2020-03-19,2,50 a 54 anos,Feminino
2020-03-19,5,50 a 54 anos,Masculino
2020-03-19,4,55 a 59 anos,Feminino
2020-03-19,2,55 a 59 anos,Masculino
2020-03-19,3,60 a 64 anos,Feminino
2020-03-19,1,60 a 64 anos,Masculino
2020-03-19,2,65 a 69 anos,Feminino
2020-03-19,2,65 a 69 anos,Masculino
2020-03-19,1,70 a 74 anos,Masculino
2020-03-19,1,80 anos ou mais,Feminino
2020-03-19,2,80 anos ou mais,Masculino
2020-03-19,1,Indefinido,Feminino
2020-03-19,1,Indefinido,Masculino
2020-03-20,1,0 a 4 anos,Feminino
2020-03-20,1,5 a 9 anos,Feminino
2020-03-20,1,5 a 9 anos,Masculino
2020-03-20,2,20 a 24 anos,Masculino
2020-03-20,4,20 a 24 anos,Feminino
2020-03-20,2,25 a 29 anos,Feminino
2020-03-20,3,25 a 29 anos,Masculino
2020-03-20,4,30 a 34 anos,Feminino
2020-03-20,4,30 a 34 anos,Masculino
2020-03-20,7,35 a 39 anos,Feminino
2020-03-20,6,35 a 39 anos,Masculino
2020-03-20,5,40 a 44 anos,Masculino
2020-03-20,4,40 a 44 anos,Feminino
2020-03-20,4,45 a 49 anos,Feminino
2020-03-20,1,45 a 49 anos,Masculino
2020-03-20,11,50 a 54 anos,Masculino
2020-03-20,2,50 a 54 anos,Feminino
2020-03-20,3,55 a 59 anos,Masculino
2020-03-20,5,55 a 59 anos,Feminino
2020-03-20,4,60 a 64 anos,Feminino
2020-03-20,1,60 a 64 anos,Masculino
2020-03-20,2,65 a 69 anos,Feminino
2020-03-20,3,65 a 69 anos,Masculino
2020-03-20,1,70 a 74 anos,Masculino
2020-03-20,1,75 a 79 anos,Masculino
2020-03-20,1,80 anos ou mais,Feminino
2020-03-20,2,80 anos ou mais,Masculino
2020-03-20,1,Indefinido,Feminino
2020-03-20,1,Indefinido,Masculino
2020-03-21,1,0 a 4 anos,Feminino
2020-03-21,1,5 a 9 anos,Feminino
2020-03-21,1,5 a 9 anos,Masculino
2020-03-21,2,15 a 19 anos,Feminino
2020-03-21,4,20 a 24 anos,Masculino
2020-03-21,4,20 a 24 anos,Feminino
2020-03-21,4,25 a 29 anos,Masculino
2020-03-21,3,25 a 29 anos,Feminino
2020-03-21,7,30 a 34 anos,Feminino
2020-03-21,5,30 a 34 anos,Masculino
2020-03-21,9,35 a 39 anos,Masculino
2020-03-21,8,35 a 39 anos,Feminino
2020-03-21,5,40 a 44 anos,Feminino
2020-03-21,12,40 a 44 anos,Masculino
2020-03-21,4,45 a 49 anos,Feminino
2020-03-21,3,45 a 49 anos,Masculino
2020-03-21,11,50 a 54 anos,Masculino
2020-03-21,3,50 a 54 anos,Feminino
2020-03-21,5,55 a 59 anos,Masculino
2020-03-21,6,55 a 59 anos,Feminino
2020-03-21,4,60 a 64 anos,Feminino
2020-03-21,2,60 a 64 anos,Masculino
2020-03-21,3,65 a 69 anos,Feminino
2020-03-21,3,65 a 69 anos,Masculino
2020-03-21,1,70 a 74 anos,Masculino
2020-03-21,3,75 a 79 anos,Masculino
2020-03-21,2,80 anos ou mais,Feminino
2020-03-21,2,80 anos ou mais,Masculino
2020-03-21,1,Indefinido,Feminino
2020-03-21,1,Indefinido,Masculino
2020-03-22,1,0 a 4 anos,Feminino
2020-03-22,1,5 a 9 anos,Masculino
2020-03-22,1,5 a 9 anos,Feminino
2020-03-22,2,15 a 19 anos,Feminino
2020-03-22,6,20 a 24 anos,Feminino
2020-03-22,4,20 a 24 anos,Masculino
2020-03-22,5,25 a 29 anos,Feminino
2020-03-22,6,25 a 29 anos,Masculino
2020-03-22,8,30 a 34 anos,Feminino
2020-03-22,7,30 a 34 anos,Masculino
2020-03-22,10,35 a 39 anos,Feminino
2020-03-22,13,35 a 39 anos,Masculino
2020-03-22,15,40 a 44 anos,Masculino
2020-03-22,6,40 a 44 anos,Feminino
2020-03-22,4,45 a 49 anos,Feminino
2020-03-22,5,45 a 49 anos,Masculino
2020-03-22,4,50 a 54 anos,Feminino
2020-03-22,14,50 a 54 anos,Masculino
2020-03-22,7,55 a 59 anos,Feminino
2020-03-22,7,55 a 59 anos,Masculino
2020-03-22,5,60 a 64 anos,Feminino
2020-03-22,3,60 a 64 anos,Masculino
2020-03-22,4,65 a 69 anos,Feminino
2020-03-22,3,65 a 69 anos,Masculino
2020-03-22,1,70 a 74 anos,Feminino
2020-03-22,1,70 a 74 anos,Masculino
2020-03-22,1,75 a 79 anos,Feminino
2020-03-22,4,75 a 79 anos,Masculino
2020-03-22,4,80 anos ou mais,Feminino
2020-03-22,2,80 anos ou mais,Masculino
2020-03-22,1,Indefinido,Feminino
2020-03-22,1,Indefinido,Masculino
2020-03-23,2,0 a 4 anos,Feminino
2020-03-23,2,5 a 9 anos,Feminino
2020-03-23,1,5 a 9 anos,Masculino
2020-03-23,1,10 a 14 anos,Masculino
2020-03-23,2,15 a 19 anos,Feminino
2020-03-23,6,20 a 24 anos,Feminino
2020-03-23,4,20 a 24 anos,Masculino
2020-03-23,6,25 a 29 anos,Feminino
2020-03-23,6,25 a 29 anos,Masculino
2020-03-23,8,30 a 34 anos,Feminino
2020-03-23,8,30 a 34 anos,Masculino
2020-03-23,15,35 a 39 anos,Masculino
2020-03-23,11,35 a 39 anos,Feminino
2020-03-23,10,40 a 44 anos,Feminino
2020-03-23,17,40 a 44 anos,Masculino
2020-03-23,7,45 a 49 anos,Feminino
2020-03-23,7,45 a 49 anos,Masculino
2020-03-23,15,50 a 54 anos,Masculino
2020-03-23,4,50 a 54 anos,Feminino
2020-03-23,8,55 a 59 anos,Masculino
2020-03-23,9,55 a 59 anos,Feminino
2020-03-23,5,60 a 64 anos,Feminino
2020-03-23,4,60 a 64 anos,Masculino
2020-03-23,5,65 a 69 anos,Feminino
2020-03-23,4,65 a 69 anos,Masculino
2020-03-23,3,70 a 74 anos,Feminino
2020-03-23,2,70 a 74 anos,Masculino
2020-03-23,1,75 a 79 anos,Feminino
2020-03-23,4,75 a 79 anos,Masculino
2020-03-23,4,80 anos ou mais,Feminino
2020-03-23,3,80 anos ou mais,Masculino
2020-03-23,1,Indefinido,Feminino
2020-03-23,1,Indefinido,Masculino
2020-03-24,2,0 a 4 anos,Feminino
2020-03-24,2,5 a 9 anos,Feminino
2020-03-24,1,5 a 9 anos,Masculino
2020-03-24,1,10 a 14 anos,Masculino
2020-03-24,2,15 a 19 anos,Feminino
2020-03-24,6,20 a 24 anos,Feminino
2020-03-24,4,20 a 24 anos,Masculino
2020-03-24,7,25 a 29 anos,Feminino
2020-03-24,6,25 a 29 anos,Masculino
2020-03-24,11,30 a 34 anos,Feminino
2020-03-24,9,30 a 34 anos,Masculino
2020-03-24,20,35 a 39 anos,Masculino
2020-03-24,16,35 a 39 anos,Feminino
2020-03-24,11,40 a 44 anos,Feminino
2020-03-24,21,40 a 44 anos,Masculino
2020-03-24,8,45 a 49 anos,Feminino
2020-03-24,7,45 a 49 anos,Masculino
2020-03-24,18,50 a 54 anos,Masculino
2020-03-24,6,50 a 54 anos,Feminino
2020-03-24,8,55 a 59 anos,Masculino
2020-03-24,10,55 a 59 anos,Feminino
2020-03-24,5,60 a 64 anos,Feminino
2020-03-24,9,60 a 64 anos,Masculino
2020-03-24,7,65 a 69 anos,Feminino
2020-03-24,5,65 a 69 anos,Masculino
2020-03-24,4,70 a 74 anos,Feminino
2020-03-24,3,70 a 74 anos,Masculino
2020-03-24,1,75 a 79 anos,Feminino
2020-03-24,4,75 a 79 anos,Masculino
2020-03-24,4,80 anos ou mais,Feminino
2020-03-24,3,80 anos ou mais,Masculino
2020-03-24,1,Indefinido,Feminino
2020-03-24,1,Indefinido,Masculino
2020-03-25,2,0 a 4 anos,Feminino
2020-03-25,2,5 a 9 anos,Feminino
2020-03-25,1,5 a 9 anos,Masculino
2020-03-25,1,10 a 14 anos,Feminino
2020-03-25,1,10 a 14 anos,Masculino
2020-03-25,2,15 a 19 anos,Feminino
2020-03-25,8,20 a 24 anos,Feminino
2020-03-25,5,20 a 24 anos,Masculino
2020-03-25,7,25 a 29 anos,Feminino
2020-03-25,8,25 a 29 anos,Masculino
2020-03-25,14,30 a 34 anos,Feminino
2020-03-25,10,30 a 34 anos,Masculino
2020-03-25,17,35 a 39 anos,Feminino
2020-03-25,22,35 a 39 anos,Masculino
2020-03-25,21,40 a 44 anos,Masculino
2020-03-25,12,40 a 44 anos,Feminino
2020-03-25,10,45 a 49 anos,Feminino
2020-03-25,12,45 a 49 anos,Masculino
2020-03-25,19,50 a 54 anos,Masculino
2020-03-25,7,50 a 54 anos,Feminino
2020-03-25,10,55 a 59 anos,Masculino
2020-03-25,11,55 a 59 anos,Feminino
2020-03-25,6,60 a 64 anos,Feminino
2020-03-25,9,60 a 64 anos,Masculino
2020-03-25,7,65 a 69 anos,Feminino
2020-03-25,6,65 a 69 anos,Masculino
2020-03-25,4,70 a 74 anos,Feminino
2020-03-25,4,70 a 74 anos,Masculino
2020-03-25,1,75 a 79 anos,Feminino
2020-03-25,5,75 a 79 anos,Masculino
2020-03-25,5,80 anos ou mais,Feminino
2020-03-25,3,80 anos ou mais,Masculino
2020-03-25,1,Indefinido,Feminino
2020-03-25,1,Indefinido,Masculino
2020-03-26,1,0 a 4 anos,Masculino
2020-03-26,3,0 a 4 anos,Feminino
2020-03-26,1,5 a 9 anos,Masculino
2020-03-26,2,5 a 9 anos,Feminino
2020-03-26,1,10 a 14 anos,Feminino
2020-03-26,1,10 a 14 anos,Masculino
2020-03-26,2,15 a 19 anos,Feminino
2020-03-26,1,15 a 19 anos,Masculino
2020-03-26,13,20 a 24 anos,Feminino
2020-03-26,6,20 a 24 anos,Masculino
2020-03-26,7,25 a 29 anos,Feminino
2020-03-26,12,25 a 29 anos,Masculino
2020-03-26,17,30 a 34 anos,Feminino
2020-03-26,13,30 a 34 anos,Masculino
2020-03-26,26,35 a 39 anos,Feminino
2020-03-26,26,35 a 39 anos,Masculino
2020-03-26,24,40 a 44 anos,Masculino
2020-03-26,14,40 a 44 anos,Feminino
2020-03-26,15,45 a 49 anos,Feminino
2020-03-26,16,45 a 49 anos,Masculino
2020-03-26,7,50 a 54 anos,Feminino
2020-03-26,20,50 a 54 anos,Masculino
2020-03-26,16,55 a 59 anos,Masculino
2020-03-26,12,55 a 59 anos,Feminino
2020-03-26,7,60 a 64 anos,Feminino
2020-03-26,12,60 a 64 anos,Masculino
2020-03-26,7,65 a 69 anos,Feminino
2020-03-26,6,65 a 69 anos,Masculino
2020-03-26,4,70 a 74 anos,Feminino
2020-03-26,4,70 a 74 anos,Masculino
2020-03-26,1,75 a 79 anos,Feminino
2020-03-26,5,75 a 79 anos,Masculino
2020-03-26,5,80 anos ou mais,Feminino
2020-03-26,3,80 anos ou mais,Masculino
2020-03-26,1,Indefinido,Feminino
2020-03-26,2,Indefinido,Masculino
2020-03-27,1,0 a 4 anos,Masculino
2020-03-27,3,0 a 4 anos,Feminino
2020-03-27,1,5 a 9 anos,Masculino
2020-03-27,2,5 a 9 anos,Feminino
2020-03-27,1,10 a 14 anos,Feminino
2020-03-27,1,10 a 14 anos,Masculino
2020-03-27,2,15 a 19 anos,Feminino
2020-03-27,1,15 a 19 anos,Masculino
2020-03-27,13,20 a 24 anos,Feminino
2020-03-27,7,20 a 24 anos,Masculino
2020-03-27,7,25 a 29 anos,Feminino
2020-03-27,15,25 a 29 anos,Masculino
2020-03-27,18,30 a 34 anos,Feminino
2020-03-27,18,30 a 34 anos,Masculino
2020-03-27,26,35 a 39 anos,Feminino
2020-03-27,28,35 a 39 anos,Masculino
2020-03-27,28,40 a 44 anos,Masculino
2020-03-27,17,40 a 44 anos,Feminino
2020-03-27,15,45 a 49 anos,Feminino
2020-03-27,19,45 a 49 anos,Masculino
2020-03-27,10,50 a 54 anos,Feminino
2020-03-27,23,50 a 54 anos,Masculino
2020-03-27,17,55 a 59 anos,Masculino
2020-03-27,14,55 a 59 anos,Feminino
2020-03-27,10,60 a 64 anos,Feminino
2020-03-27,13,60 a 64 anos,Masculino
2020-03-27,7,65 a 69 anos,Feminino
2020-03-27,8,65 a 69 anos,Masculino
2020-03-27,4,70 a 74 anos,Feminino
2020-03-27,5,70 a 74 anos,Masculino
2020-03-27,1,75 a 79 anos,Feminino
2020-03-27,5,75 a 79 anos,Masculino
2020-03-27,6,80 anos ou mais,Feminino
2020-03-27,4,80 anos ou mais,Masculino
2020-03-27,1,Indefinido,Feminino
2020-03-27,3,Indefinido,Masculino
2020-03-28,2,0 a 4 anos,Masculino
2020-03-28,3,0 a 4 anos,Feminino
2020-03-28,1,5 a 9 anos,Masculino
2020-03-28,2,5 a 9 anos,Feminino
2020-03-28,1,10 a 14 anos,Feminino
2020-03-28,1,10 a 14 anos,Masculino
2020-03-28,2,15 a 19 anos,Feminino
2020-03-28,1,15 a 19 anos,Masculino
2020-03-28,14,20 a 24 anos,Feminino
2020-03-28,7,20 a 24 anos,Masculino
2020-03-28,11,25 a 29 anos,Feminino
2020-03-28,17,25 a 29 anos,Masculino
2020-03-28,20,30 a 34 anos,Feminino
2020-03-28,18,30 a 34 anos,Masculino
2020-03-28,27,35 a 39 anos,Feminino
2020-03-28,29,35 a 39 anos,Masculino
2020-03-28,28,40 a 44 anos,Masculino
2020-03-28,19,40 a 44 anos,Feminino
2020-03-28,15,45 a 49 anos,Feminino
2020-03-28,21,45 a 49 anos,Masculino
2020-03-28,11,50 a 54 anos,Feminino
2020-03-28,25,50 a 54 anos,Masculino
2020-03-28,17,55 a 59 anos,Masculino
2020-03-28,16,55 a 59 anos,Feminino
2020-03-28,10,60 a 64 anos,Feminino
2020-03-28,13,60 a 64 anos,Masculino
2020-03-28,8,65 a 69 anos,Feminino
2020-03-28,8,65 a 69 anos,Masculino
2020-03-28,4,70 a 74 anos,Feminino
2020-03-28,6,70 a 74 anos,Masculino
2020-03-28,1,75 a 79 anos,Feminino
2020-03-28,6,75 a 79 anos,Masculino
2020-03-28,6,80 anos ou mais,Feminino
2020-03-28,5,80 anos ou mais,Masculino
2020-03-28,1,Indefinido,Feminino
2020-03-28,3,Indefinido,Masculino
2020-03-29,2,0 a 4 anos,Masculino
2020-03-29,3,0 a 4 anos,Feminino
2020-03-29,1,5 a 9 anos,Masculino
2020-03-29,2,5 a 9 anos,Feminino
2020-03-29,1,10 a 14 anos,Feminino
2020-03-29,1,10 a 14 anos,Masculino
2020-03-29,3,15 a 19 anos,Feminino
2020-03-29,1,15 a 19 anos,Masculino
2020-03-29,15,20 a 24 anos,Feminino
2020-03-29,7,20 a 24 anos,Masculino
2020-03-29,11,25 a 29 anos,Feminino
2020-03-29,18,25 a 29 anos,Masculino
2020-03-29,22,30 a 34 anos,Feminino
2020-03-29,20,30 a 34 anos,Masculino
2020-03-29,30,35 a 39 anos,Feminino
2020-03-29,31,35 a 39 anos,Masculino
2020-03-29,31,40 a 44 anos,Masculino
2020-03-29,21,40 a 44 anos,Feminino
2020-03-29,17,45 a 49 anos,Feminino
2020-03-29,22,45 a 49 anos,Masculino
2020-03-29,11,50 a 54 anos,Feminino
2020-03-29,28,50 a 54 anos,Masculino
2020-03-29,17,55 a 59 anos,Masculino
2020-03-29,17,55 a 59 anos,Feminino
2020-03-29,12,60 a 64 anos,Feminino
2020-03-29,15,60 a 64 anos,Masculino
2020-03-29,10,65 a 69 anos,Feminino
2020-03-29,8,65 a 69 anos,Masculino
2020-03-29,4,70 a 74 anos,Feminino
2020-03-29,9,70 a 74 anos,Masculino
2020-03-29,1,75 a 79 anos,Feminino
2020-03-29,6,75 a 79 anos,Masculino
2020-03-29,7,80 anos ou mais,Feminino
2020-03-29,5,80 anos ou mais,Masculino
2020-03-29,1,Indefinido,Feminino
2020-03-29,3,Indefinido,Masculino
2020-03-30,2,0 a 4 anos,Masculino
2020-03-30,3,0 a 4 anos,Feminino
2020-03-30,2,5 a 9 anos,Masculino
2020-03-30,2,5 a 9 anos,Feminino
2020-03-30,1,10 a 14 anos,Feminino
2020-03-30,1,10 a 14 anos,Masculino
2020-03-30,4,15 a 19 anos,Feminino
2020-03-30,1,15 a 19 anos,Masculino
2020-03-30,15,20 a 24 anos,Feminino
2020-03-30,7,20 a 24 anos,Masculino
2020-03-30,11,25 a 29 anos,Feminino
2020-03-30,18,25 a 29 anos,Masculino
2020-03-30,22,30 a 34 anos,Feminino
2020-03-30,20,30 a 34 anos,Masculino
2020-03-30,31,35 a 39 anos,Feminino
2020-03-30,34,35 a 39 anos,Masculino
2020-03-30,33,40 a 44 anos,Masculino
2020-03-30,22,40 a 44 anos,Feminino
2020-03-30,18,45 a 49 anos,Feminino
2020-03-30,23,45 a 49 anos,Masculino
2020-03-30,12,50 a 54 anos,Feminino
2020-03-30,28,50 a 54 anos,Masculino
2020-03-30,19,55 a 59 anos,Masculino
2020-03-30,19,55 a 59 anos,Feminino
2020-03-30,13,60 a 64 anos,Feminino
2020-03-30,18,60 a 64 anos,Masculino
2020-03-30,10,65 a 69 anos,Feminino
2020-03-30,9,65 a 69 anos,Masculino
2020-03-30,4,70 a 74 anos,Feminino
2020-03-30,9,70 a 74 anos,Masculino
2020-03-30,1,75 a 79 anos,Feminino
2020-03-30,6,75 a 79 anos,Masculino
2020-03-30,7,80 anos ou mais,Feminino
2020-03-30,5,80 anos ou mais,Masculino
2020-03-30,1,Indefinido,Feminino
2020-03-30,3,Indefinido,Masculino
2020-03-31,2,0 a 4 anos,Masculino
2020-03-31,3,0 a 4 anos,Feminino
